site,fire.x,lat,lon,decid.dens.pre,decid.bio.pre,spruce.dens.pre,spruce.bio.pre,rel.decid.dens.pre,rel.decid.bio.pre,decid.dens.post,decid.bio.post,spruce.dens.post,spruce.bio.post,rel.decid.dens.post,rel.decid.bio.post,new.bio.dens,traj.20,postsol.depth,presol.depth,lostsol.depth,presol.c,postsol.c,lostsol.c,preabove.c,prebelow.c,pretot.c.new,preabove.n,prebelow.n,pretot.n.new,preabove.cn,prebelow.cn,pretot.cn.new,postabove.c,postbelow.c,posttot.c.new,postabove.n,postbelow.n,posttot.n.new,postabove.cn,postbelow.cn,posttot.cn.new,lostabove.c,lostbelow.c,losttot.c.new,lostabove.n,lostbelow.n,losttot.n.new,lostabove.cn,lostbelow.cn,losttot.cn.new
TC23,TC,63.46036,142.46834,0,0,0.94,4818.635622,0,0,4.4,3,0.4,1.16,0.916666667,0.721153846,0.818910257,Deciduous,4.227272727,19.22727273,15,6071.16383,3040.39627,3030.76756,2077.254367,6114.16383,8191.418197,10.76655466,202.85366,213.6202147,192.9358493,30.14076172,38.34570717,1256.549619,3083.39627,4339.945889,2.482655197,113.04616,115.5288152,506.131347,27.27555071,37.56591705,875.8662433,3073.76756,3949.633803,8.414082055,90.3175,98.73158206,104.0952819,34.03291234,40.00375281
TC25,TC,63.42012,142.48093,0,0,1,2322.893888,0,0,0,0,2,1.89,0,0,0,Spruce,16.63636364,25.95454545,9.318181818,5822.4781,4864.94711,957.53099,972.275675,5865.4781,6837.753775,5.265206243,192.43308,197.6982862,184.6605109,30.48061227,34.5868136,720.0767867,4907.94711,5628.023897,2.0509043,167.45084,169.5017443,351.1020903,29.30977898,33.20333912,348.7994405,1000.53099,1349.330431,3.272302256,25.49224,28.76454226,106.5914494,39.24845325,46.90950471
TC26,TC,63.52002,142.38799,0,0,1.17,2298.766962,0,0,0.1,7.91,0.6,6.17,0.142857143,0.561789773,0.352323458,Mixed,16.27,29.63636364,13.36636364,9289.76881,8165.93803,1123.83078,1226.56,9332.76881,10559.32881,6.847951917,334.34369,341.1916419,179.1134072,27.91369806,30.94838065,784.2119167,8208.93803,8993.149947,1.602849667,327.46979,329.0726397,489.2610535,25.06777199,27.32876837,506.0301667,1166.83078,1672.860947,5.313671958,7.3839,12.69757196,95.23172877,158.0236433,131.7465223
TC27,TC,63.40473,142.46973,0,0,1.34,2860.065089,0,0,0.2,0.06,3.4,1.96,0.055555556,0.02970297,0.042629263,Spruce,18.32,36.54545455,18.22545455,8128.28659,5761.82234,2366.46425,921.9514583,8171.28659,9093.238048,5.50881875,295.7054,301.2142188,167.3591926,27.63320044,30.18860825,644.8558125,5804.82234,6449.678153,2.028382053,231.28436,233.3127421,317.9163469,25.09820526,27.64391733,358.7922083,2409.46425,2768.256458,3.525116282,64.93104,68.45615628,101.7816661,37.10804956,40.4383858
TC28,TC,63.39563,142.49361,0,0,0.45,4286.826663,0,0,4,25.35,6.3,2.28,0.388349515,0.917480999,0.652915257,Mixed,4.518181818,15.88181818,11.36363636,3936.625985,1481.332727,2455.293258,2641.448333,3979.625985,6621.074318,13.53371935,128.919392,142.4531114,195.1753442,30.86910296,46.47897301,1920.212575,1524.332727,3444.545302,4.978994148,54.353,59.33199415,385.6627499,28.04505229,58.05544465,949.7255208,2498.293258,3448.018779,8.722748539,75.076392,83.79914054,108.8791585,33.27668248,41.14623082
TC29,TC,63.38705,142.52443,0,0,0.53,4224.949903,0,0,6.6,26.69,7.6,2.92,0.464788732,0.901384667,0.6830867,Deciduous,1.636363636,15.18181818,13.54545455,4887.44314,857.90247,4029.54067,2711.895117,4930.44314,7642.338257,13.67603209,161.87035,175.5463821,198.2954631,30.45921097,43.53458138,1633.13153,900.90247,2534.034,3.192718048,33.38123,36.57394805,511.5176177,26.98829462,69.28521899,1140.87383,4072.54067,5213.4145,10.66015279,128.99912,139.6592728,107.0222775,31.57029808,37.32952632
TC3,TC,64.03971,142.05802,0,0,0.6,700.2689386,0,0,21,6.76,0.4,7.15,0.981308411,0.485981308,0.73364486,Deciduous,4.1,15,10.9,3713.4147,1475.46,2237.9547,473.1169833,3756.4147,4229.531683,3.293649173,121.32117,124.6148192,143.6452271,30.96256573,33.94084035,266.699395,1518.46,1785.159395,0.57827178,55.873,56.45127178,461.2007783,27.17699068,31.62301466,224.8828258,2280.9547,2505.837526,2.729956197,65.95817,68.6881262,82.37598319,34.58183725,36.48137844
TC4,TC,64.01855,142.08482,0,0,1.55,2785.835104,0,0,0.1,0.15,2.6,0.27,0.037037037,0.357142857,0.197089947,Spruce,16.27272727,26.27272727,10,8345.840636,6985.074096,1360.76654,1358.505842,8388.840636,9747.346478,8.11489508,298.575737,306.6906321,167.4089226,28.09619,31.78234174,1013.637728,7028.074096,8041.711824,3.260347732,249.976932,253.2372797,310.898656,28.1148906,31.75563974,496.4296142,1403.76654,1900.196154,4.924066231,49.108805,54.03287123,100.8170059,28.58482384,35.16741034
TC5,TC,64.0205,142.08616,0,0,0.98,3710.464723,0,0,1.3,113.73,0.4,7.33,0.764705882,0.939451512,0.852078697,Deciduous,4.163636364,15.06363636,10.9,3729.522731,1504.770909,2224.751822,1422.828117,3772.522731,5195.350848,8.08176282,121.869495,129.9512578,176.0541789,30.9554309,39.9792271,880.812115,1547.770909,2428.583024,1.82529243,57.031182,58.85647443,482.5594521,27.13902912,41.26280154,602.3594017,2267.751822,2870.111224,6.333187483,65.969194,72.30238148,95.11156954,34.37592131,39.69594313
TC6,TC,63.98123,142.15653,0,0,0.52,938.0832932,0,0,0,0,7.4,1.03,0,0,0,Spruce,14.26363636,25.51818182,11.25454545,6375.842095,4144.169091,2231.673004,514.3941,6418.842095,6933.236195,3.59408578,211.951504,215.5455898,143.122377,30.28448477,32.16598494,314.80256,4187.169091,4501.971651,0.787749518,142.440273,143.2280225,399.6226628,29.39596368,31.43219861,232.6387775,2274.673004,2507.311782,2.823309719,70.021232,72.84454172,82.39931168,32.48547532,34.42003645
TC7,TC,63.97744,142.16343,0,0,1.6,1941.951273,0,0,0.1,1.82,0.9,2.08,0.1,0.466666667,0.283333334,Spruce,17.61818182,30.47272727,12.85454545,7629.967358,5346.912727,2283.054631,1260.232433,7672.967358,8933.199791,8.095099007,254.642543,262.737642,155.6784459,30.1323073,34.00045659,670.8466467,5389.912727,6060.759374,1.306863927,186.753,188.0598639,513.325552,28.86118417,32.22781963,606.80047,2326.054631,2932.855101,6.84834545,72.157019,79.00536445,88.60541198,32.23601339,37.12222735
TC8,TC,63.96044,142.16955,0.111111111,2332.155736,0.92,2878.302446,0.107758621,0.447591297,1.3,198.8,2.9,6.55,0.30952381,0.968103238,0.638813524,Mixed,10.77272727,18.5,7.727272727,4499.0554,3366.94914,1132.10626,1717.586342,4542.0554,6259.641742,8.97542751,149.94319,158.9186175,191.3654074,30.29184186,39.38897682,1126.965837,3409.94914,4536.914977,2.225712969,119.58719,121.812903,506.3392507,28.51433452,37.24494587,682.2650321,1175.10626,1857.371292,6.859297554,30.866,37.72529755,99.46572907,38.07121946,49.23410583
TC9,TC,63.85791,142.23308,0.033333333,0.581,0.933333333,NA,0.034482759,0.095847408,9.2,191.93,1.1,2.48,0.893203883,0.987243455,0.940223669,Deciduous,4.259090909,12.88181818,8.622727273,3177.247385,1548.737273,1628.510113,920.63115,3220.247385,4140.878535,5.101792553,103.069772,108.1715646,180.4524861,31.24337352,38.28065677,876.2777367,1591.737273,2468.01501,3.373464227,58.768455,62.14191923,259.7560483,27.08489228,39.71578349,234.9961592,1671.510113,1906.506272,1.78190932,47.381321,49.16323032,131.8788541,35.27782843,38.7791091
