project,fire,site,lat,lon,tran,sample,age,Age.Class,decid.dens,decid.bio,spruce.dens,spruce.bio,rel.decid.dens,rel.decid.bio,new.bio.dens,traj.20,treesnagsolC,aboveC,belowC,treesnagsolN,aboveN,belowN,treesnagsolCN,aboveCN,belowCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,GC87,GC2,63.91946143,-145.3633058,2,1,21,> 20 years,0.37,28.27,0.27,98.99,0.578125,0.222143643,0.400134322,Mixed,2600.49,1079.662,1520.83,42.51,6.9206048,36.23312,61.16858365,156.0068854,41.9734762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,GC87,GC3,63.91903798,-145.368582,3,1,21,> 20 years,0.52,290.11,0.2,26.87,0.722222222,0.915231245,0.818726734,Deciduous,4782.8,643.608,4139.194,125.61,3.7772112,122.184752,38.07570937,170.3923784,33.87651841,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,GC87,GC4,63.87335,-145.44106,4,1,21,> 20 years,0.27,91.41,0.23,159.21,0.54,0.364735456,0.452367728,Mixed,4456.44,428.736,4027.699,106.8,3.3815184,103.627828,41.72765179,126.7880133,38.86696342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,GM54,GM2,63.94336,-145.58222,2,1,56,> 20 years,0.44,3346.43,0.45,917.32,0.494382022,0.784856054,0.639619038,Mixed,5366.06,2475.704,2890.354,107.66,14.2457776,93.772432,49.84130548,173.7851081,30.82306749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,GS66,GS1,64.80632,-148.47183,1,1,43,> 20 years,0.18,1973.15,1.86,3308.7,0.088235294,0.37357176,0.230903527,Spruce,7771.48,2843.636,4927.834,158.34,18.7229424,139.947952,49.07972667,151.8797601,35.21190507,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,GS66,GS2,64.80233,-148.41912,2,1,43,> 20 years,0.01,2.17,0.99,193.11,0.01,0.011112249,0.010556125,Spruce,3758.53,176.792,3581.731,138.61,0.8739808,137.809252,27.11562945,202.28362,25.99049736,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,GS66,GS3,64.80027,-148.41368,3,1,43,> 20 years,0,0,4.45,2980.61,0,0,0,Spruce,7398.03,2093.24,5304.791,214.82,16.389256,198.713652,34.437754,127.7202577,26.69565451,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,HF58,HF1,63.916944,-148.93333,1,1,50,> 20 years,0.22,2807.26,2.04,4366.71,0.097345133,0.391311924,0.244328529,Spruce,5057.4,3090.624,1966.782,66.55,17.4525456,49.225296,75.98910955,177.0872898,39.95470134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,LG58,LG1,65.44394,-148.77584,1,1,80,> 20 years,0.72,6570.28,0,0,1,1,1,Deciduous,5388.99,3252.968,2136.015,84.81,18.7035232,66.27212,63.54150704,173.9227399,32.23097435,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,LG58,LG2,65.43041,-148.86352,2,1,51,> 20 years,0,0,0.51,248.46,0,0,0,Spruce,7259.59,201.296,7058.297,280.8,2.0637424,278.755604,25.85317381,97.53930529,25.32073579,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,LG58,LG3,65.44684,-148.76149,3,1,76,> 20 years,0.16,5189.79,0.12,463.12,0.571428571,0.918074054,0.744751313,Deciduous,6733.33,2682.062,4051.268,151.33,16.2658768,135.124464,44.49324456,164.8888672,29.98175075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,MATDEC,MATDEC1,63.88989,-145.862,1,1,84,> 20 years,0.22,10391.79,0.09,21.59,0.709677419,0.997926706,0.853802063,Deciduous,7619.14,5794.722,1824.415,93.42,40.2150448,53.71548,81.5554177,144.0933867,33.96441771,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,MATDEC,MATDEC2,65.40347,-148.22948,2,1,74,> 20 years,0.12,9388.47,0,0,1,1,1,Deciduous,9338.08,5062.82,4275.263,222.93,33.884792,189.543544,41.88866253,149.4127513,22.55557172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,MATDEC,MATDEC3,64.90151,-148.27515,3,1,87,> 20 years,0.26,19949.1,0,0,1,1,1,Deciduous,17426.16,11655.942,5770.218,300.41,69.5945568,232.601104,58.00763765,167.4835294,24.80735431,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,MATDEC,MATDEC4,65.42607,-148.89148,4,1,70,> 20 years,0.17,13456.33,0.12,562.8,0.586206897,0.959854855,0.773030876,Deciduous,16931.14,9483.46,7447.68,410.17,69.195456,342.28864,41.27866043,137.0532192,21.75847846,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,MD58,MD1,64.88149,-148.39025,1,1,51,> 20 years,0.69,11614.47,0.01,0.31,0.985714286,0.99997331,0.992843798,Deciduous,8701.85,6181.346,2520.5,140.84,35.5445504,105.93832,61.78476547,173.9041831,23.79214622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,MD58,MD2,64.88044,-148.38646,2,1,51,> 20 years,0.63,8613.19,2.02,2905.72,0.237735849,0.747743493,0.492739671,Mixed,10512.03,5558.784,4953.252,224.53,34.5950816,190.350016,46.81709988,160.681338,26.02181026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,MD58,MD3,64.88212,-148.39168,3,1,51,> 20 years,0.11,24.45,3.07,959.18,0.034591195,0.024856908,0.029724052,Spruce,7168.49,498.462,6670.034,156.01,2.2755808,153.833488,45.94838688,219.0482535,43.35879064,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,MF81,MF1,65.20547,-149.73668,1,1,26,> 20 years,1.31,1757.36,0.11,12.46,0.922535211,0.992959736,0.957747474,Deciduous,2740.72,767.124,1973.601,45.05,5.0357536,40.034248,60.8416584,152.3354916,49.29781621,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,MF81,MF2,65.20553,-149.7379,2,1,26,> 20 years,0.02,0.75,0.3,56.18,0.0625,0.013174073,0.037837037,Spruce,4324,186.244,4137.766,103.74,0.5840896,103.281832,41.68254728,318.8620376,40.06286411,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chrono,MF81,MF3,65.20885,-149.74132,3,1,26,> 20 years,1.32,1498.94,0.95,194.21,0.581497797,0.885296636,0.733397217,Deciduous,4042.07,697.33,3344.738,105.34,5.011024,100.337744,38.37103158,139.1591818,33.33479373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
